discovered exposed lost
madder fantastic collected
tortured injure comfort
limb branch whole
tramp bum tiptoeing
winning successful losing
surface outer deep
surface shallow core
relieved satisfied sad
awoke wake sleep
shampooed float dry
shampooed hose dirty
curved crooked straight
gathering conference individual
clipping part whole
hearty generous cool
reading examination destruction
reading knowledge misunderstanding
reading learning writing
rapping chatter praise
swift nimble lazy
slammed bat aid
slammed belt fail
slammed blast help
wondered think ignore
brighter brilliant cloudy
brighter dazzling dark
colored glowing genuine
cancel cut build
cancel destroy continue
malificent dangerous bright
malificent dark cheerful
malificent gloomy happy
ship haul keep
ship move remain
greet approach dodge
swish grand bad
swish in poor
switching shift remain
switching swap stay
yanking snap fix
yanking tear push
honeycomb drill close
slower heavy complex
rent payment closed
fee bill penalty
director head worker
drop bit glob
drop bubble lot
drop crumb incline
drop dab increase
drop dash mound
source expert effect
plum cream loss
plum bonus penalty
plum catch punishment
squirted spit gather
pickle box advantage
rubbery strong delicate
rubbery tough hard
boomed roar praise
boomed thunder collapse
boomed blast fail
split crack closing
afterward eventually earlier
alien unusual normal
alien contrary usual
settling clear begin
settling decide forget
happen arrive disappear
happen develop fail
happen hit lose
popped blow fix
popped crack pull
popped dart remove
meow cheer quiet
meow groan silence
meow grunt calm
rescue relief danger
loud intense little
suddenly swiftly slowly
personal particular common
personal secret ordinary
personal special public
personal own usual
longest high little
longest tall small
screwed turn straighten
screwed twine help
screwed wind unscrew
screwed work untwist
junior second important
disgusting awful agreeable
disgusting creepy beautiful
disgusting gruesome delightful
flutter flicker steady
flutter flop remain
flutter quiver stay
stalked chase ignore
likely expected impossible
injure break aid
path avenue closing
gal character abstract
gal guy animal
gal human plant
cleaned brush dirty
cleaned dust pollute
within indoors outside
lowly base higher
lowly common noble
bright brilliant cloudy
bright dazzling dark
coach teacher player
coach trainer pupil
coach skipper student
rear following first
rear hind front
rear last beginning
white clear dark
gesture expression speech
autumn harvest spring
separated removed united
conclusion ending opening
grated rub build
grated file please
exit opening entrance
exit hole arriving
exit outlet coming
ornery grouchy agreeable
ornery grumpy friendly
ornery nasty kind
question questioning agreement
household home different
household plain special
handy available unavailable
having admit avoid
having bear deny
jostled shove pull
mystery problem understanding
wildlife growth concept
wildlife living end
wildlife person plant
nickel dimes bill
nickel nickels dollar
weathered survive soften
idiot jerk brain
weary impatient lively
sorted catalogue collect
sorted separate gather
dream fantasy concrete
dream image reality
dream imagination truth
dream nightmare fact
kiddie baby adult
kiddie infant parent
wight character abstract
wight life plant
spill dribble collect
spill empty gather
spill pour hide
floor canvas ceiling
met contact avoid
met greet lose
met see release
pamper spoil deny
first basic ending
first beginning extra
first cardinal final
current present old
current general past
climb scale drop
penalty fine reward
heap jumble ditch
heap lump individual
heap stack lack
heap ton little
propelling shoot pull
propelling force end
makin cause whole
borrow rent give
borrow bite lend
borrow bum pay
feeling pain concrete
tender weak hard
spare emergency necessary
spare free thick
bring carry avoid
bring lead fail
bring take hold
straighter nonstop broken
cooked barbecue aid
cooked boil cool
cooked brew grow
handsomer dapper dull
handsomer elegant homely
storybook false genuine
launch cast keep
rate estimate whole
bend bending line
gift bonus taking
alike similar different
fastest hot slow
fastest quick boring
check checkup allowance
riot disturbance order
riot storm agreement
family folk parent
helpful convenient hurting
caw cheer quiet
caw groan silence
caw grunt calm
chasing hunt escape
bringing carry avoid
bringing lead fail
bringing take hold
hello hi adios
hello welcome goodbye
identical double opposite
provide bring deny
racing dashing slow
racing fast crawling
racing flying creeping
perfectly quite partly
on above off
token expression break
few less big
few minor fat
few minute large
base foul good
underside belly top
underside bottom ceiling
pappy creamy difficult
pappy delicate hard
pappy easy heavy
translating put take
translating transcribe confuse
squeezed crush allow
squeezed grip free
back final beginning
back following first
back hind front
back rear future
sounded boom praise
sounded echo quiet
shrill noisy mild
soaking dip dirty
soaking drink dry
scarcely rarely frequently
rescued free give
rescued keep harm
rescued preserve hurt
rescued protect injure
waste destruction construction
disguise veil personality
disguise blind reality
gang bunch individual
medicine cure disease
uncomfortable bitter easy
uncomfortable difficult kind
uncomfortable hard nice
niagara advance lack
bundled pack uncover
bundled fasten loose
bundled tie loosen
unlock undo button
unlock free fix
unlock jimmy hold
corny dull calm
pass cut closing
single lone common
single original general
single personal ordinary
single private public
plant grass animal
arrived reach fail
arrived report go
arrived visit hide
dam barrier aid
dam ditch help
jagged uneven level
soil dust sky
cure drug injury
cure healing hurt
clump bundle individual
clump chunk one
page leaf inside
pupil senior professional
pupil student professor
follow result lead
reticent shy talkative
break hole agreement
modern current old
modern stylish ancient
crowded loaded loose
tended favor hurt
shaky nervous certain
shaky rocky firm
sink dig increase
sink dip raise
sink disappear rise
calling craft fun
calling do pastime
fact law lie
bribe gift loss
right honest evil
worried distracted happy
quit drop allow
quit go begin
quit retire join
taller great little
taller lanky short
taller rangy small
taller soaring tiny
easiest obvious difficult
summertime vacation winter
remained live leave
checking correct forget
checking investigate ignore
passing quick long
peak hill base
peak mountain bottom
laughter glee gloom
drilled break ignore
drilled exercise learn
mint perfect ancient
mint fresh old
replace follow hold
spelt intend use
slack sloppy lively
growth gain failure
growth improvement loss
washer honest different
select exclusive open
select preferred least
dark cloudy bright
dark dingy clear
thick fat little
thick hard narrow
thick massive skinny
sprout grow stop
sprout push die
sprout shoot shrink
flew climb remain
flew cross slow
flew flutter rest
miniature small huge
miniature baby important
rum beat common
rum bent normal
rum crazy standard
rum freak usual
nephew father girlfriend
nephew fellow woman
colder cool hot
colder crisp kind
littered dirty organize
tripping slide order
creative original old
sighed groan praise
sighed moan hate
chop cube join
foundation support outside
munching champ lose
shook rattle order
unwrapped untie cover
unwrapped peel pack
most biggest least
off finished here
off slight present
powder dust solid
lover boyfriend enemy
laughing camp boring
spilt dribble collect
spilt empty gather
spilt pour hide
felled flatten raise
felled slash build
felled tumble combine
exposed naked blocked
gobble gulp nibble
pale dull clear
pale faded colored
pale faint colorful
pale gray dark
putty flexible hard
breakfast+time aurora darkness
grabbing catch free
arrange form destroy
issue argument agreement
issue point parent
billowing belly shrink
billowing bloat stabilize
watchful careful careless
shady leafy clear
shady shadowy bright
ace great unknown
twirled rotate straight
twirled spin untwist
horrible disgusting delightful
uphill climbing downhill
victoria car player
organize form confuse
presentation demonstration hiding
presentation display reality
apart alone together
grave heavy excited
grave quiet lively
aching sore healthy
stronger active broken
stronger big easy
pull haul fix
pull pick plant
pull pluck push
pull remove sew
gulped gobble nibble
icy freezing friendly
icy frosty hot
busted crash aid
bottom ground highest
bottom last top
bottom primary unnecessary
pretended cheating open
float glide drown
float hang sink
swash dash gather
filter drain dirty
filter dribble pour
filter leak pollute
filter penetrate collect
collected quiet excited
collected still upset
collected easy worried
attack charge pull
head first extra
head front final
head main last
hammered batter destroy
hammered drive fail
leathery wrinkled smooth
totally fully partly
dumb mum smart
heavy big easy
northern north southern
banged rattle tap
flowing rolling empty
enjoying love hate
enjoying dig need
treadmill groove entertainment
treadmill labor fun
information data question
deserve gain fail
drumstick bat whole
territory colony sky
riding float remain
riding go stay
riding guide stop
unwrap untie cover
unwrap peel pack
collect save separate
spottiest patchy consistent
echo reflection opposite
went fly face
went leave remain
went move stay
went pass stop
went progress arrive
dinky mini large
dinky miniature rough
dinky minor big
slept relax wake
rocking shake remain
rocking shock stay
rocking swing hold
empty blank busy
laundromat covering showing
solid strong unstable
solid sturdy weak
solid substantial wobbly
solid tight flexible
affected impressed happy
passive static impatient
climbed scale drop
stirred blend calm
stirred disturb divide
stirred mix lose
stirred shake separate
chopping cube join
dreamed fantasy concrete
dreamed image reality
dreamed imagination truth
dreamed nightmare fact
rely build ignore
glossy polished stupid
bust breast back
puffy blown tight
pushed force hold
pushed launch keep
sole remaining common
sole individual general
sole one mixed
sole particular ordinary
warmer heated calm
warmer hot cold
warmer mild freezing
warmer pleasant stormy
flied climb remain
flied cross slow
flied flutter rest
nature mood outside
shining radiant dull
choking fill loose
choking gag advance
twin double single
neat elegant careless
kicked buzz sadness
sleep trance activity
perfume incense stink
jiggle shimmy calm
dime dimes bill
dime nickels dollar
wolf gobble nibble
wolf gulp open
pleaded petition answer
pleaded pray decide
whisked hurry slow
whisked whip walk
melancholic bad above
melancholic bleeding decent
daring bold afraid
avoid dodge meet
avoid escape allow
damn darn admit
easy obvious difficult
chew chomp ignore
wife partner foe
stick bat whole
entrance avenue conclusion
entrance door exit
temper humor upset
suggestion idea question
command duty answer
choice preferred bad
touch contact failure
touch feeling loss
touch taste lot
knead rub destroy
knead manipulate pull
in current old
in latest past
fall drop increase
sillier crazy intelligent
sillier inappropriate responsible
bitty miniature great
safety security danger
lip brim center
boy fellow girl
nude raw covered
rumpusing vie leave
rumpusing battle agree
filing register erase
outgoing warm arriving
prove find hide
interrupting disturb allow
slurping eat hold
slurping gobble keep
tearing crack agree
tearing damage attach
tearing divide combine
tearing grab cure
tearing injure fix
hauling carry drop
hauling cart keep
hauling drag lower
gradually gently suddenly
dizzy distracted steady
dizzy dumb aware
dizzy giddy clear
dizzy shaky understanding
sue charge deny
frightful horrible pleasant
intense deep agreeable
oiling grease dry
volcano pile valley
enjoy love hate
enjoy dig need
project business fun
risk hazard safety
preserve freeze attack
handle shaft release
advantage choice block
advantage favor harm
minute minimal large
damned lousy good
damned bad nice
slash slit aid
slash chop cure
gallop dart slow
gallop dash face
glee joy pain
glee pleasure sadness
forever permanently never
top excellent poor
adding cast estimate
boom blast loss
homely cozy attractive
late slow antique
late behind early
smoky dingy clean
wipe dry dirty
popper arch calm
plopped drop increase
plopped flag rise
over past failed
jumped bound add
jumped dive allow
jumped hop lose
steep lofty kind
steep sharp nice
weirdest creepy boring
weirdest curious common
shadowy shady light
spectacular daring homely
parachuting bound add
parachuting dive allow
parachuting hop lose
thistle dart kindness
favor gift injury
rare limited common
rare strange normal
regular proper special
filling mixture outside
transfer transmission keeping
unplugged free limited
dividing carve attach
dividing cross combine
dividing cut fix
warm heated calm
warm hot cold
warm mild freezing
warm pleasant stormy
waterloo beating rise
waterloo collapse success
stiff solid loose
stiff tense slack
velvety glossy dull
heavy+duty active broken
heavy+duty big easy
incredibly strangely normally
dropping bleed pour
dropping drain do
image copy difference
image drawing original
image figure concrete
dusty dirty clean
dusty sandy clear
revealed announce deny
humped bowed undecided
bushy fluffy smooth
bushy fuzzy bald
bushy hairy neat
chief principal minor
swell dandy poor
feeding fuel fail
unzipped undo fasten
lurch flounder straighten
lurch jerk face
stain smudge honor
stain speck praise
come enter disappear
dart flash slow
bunch band one
useable agreeable inappropriate
field garden sky
animal natural gentle
sank dig increase
sank dip raise
sank disappear rise
forgive forget blame
forgive clear increase
glitch hitch strength
eyebrow face back
eyebrow front rear
eventually someday never
pet darling common
rolled curved straight
rolled folded spread
norm measure end
norm model exception
ice+cube crystal water
hyper lively dull
wicket entrance conclusion
woman girl man
pure classic cloudy
pure natural complex
pure neat complicated
weak fragile active
weak frail certain
bolt latch key
nibbled peck lot
nibbled snack mouthful
were continue die
native natural minor
plateful course whole
zone belt whole
prudential mean generous
yonder beyond close
yonder farther nearby
doggy dashing plain
roamed prowl stay
scrap grain whole
scrap hunk agreement
scrap morsel load
yawn gap connect
lean lanky heavy
lean rangy plump
skied bound add
skied dive allow
skied hop lose
packaging gather divide
packaging store separate
distance gap height
distance scope warmth
jumpy creepy calm
jumpy frisky quiet
mushy squishy stiff
shut lock loosen
shut push open
sharpen dress dull
guess conclusion fact
guess feeling reality
one single common
happened arrive disappear
happened develop fail
happened hit lose
knocked box praise
irritated bothered calm
drafting prepare destroy
raced dash slow
awakened awake bore
kink wrinkle line
flood stream want
snuggling burrow release
came enter disappear
blow gust luck
headed going landed
headed moving stopping
volunteer present force
insist hold reply
insist press forget
basking lounge hide
fuddyduddy firm unstable
broken collapsed perfect
broken crumbled complete
broken crushed connected
wiping dry dirty
crowd crew one
crowd group peace
tape+recording file ignore
hesitated pause advance
suggest recommend take
reality matter abstract
silky glossy dull
grip brace release
rake collect divide
sticker lanky heavy
sticker rangy plump
string rope individual
slid fall remain
lighthouse candle darkness
rubbish lumber property
rubbish rubble sense
rubbish trash truth
clipped trim grow
team company individual
studying learn forget
treating hold fail
caused induce end
wetter humid clear
baby dwarf big
baby little enormous
baby mini huge
baby minute immense
hint announcement lot
digging burrow cover
digging clean exit
digging discover fill
arriving reach fail
arriving report go
arriving visit hide
rummage poke calm
litter muck sense
litter rubbish arrangement
litter confusion order
owned enjoyed lost
sow drill harvest
opportunity hope reality
opportunity moment truth
smile grin frown
prevent avoid advance
prevent bar aid
prevent block allow
dunking soak dry
beware mind face
beware notice ignore
tootsie boyfriend foe
tootsie darling hate
mere minor decorated
mere entire big
stinky sticky dry
tape+record file ignore
lend contribute deny
lend give hold
hear get ignore
hear listen lose
smelling inhale miss
royal imperial poor
deep buried narrow
grating dry nice
amongst between outside
amongst during separate
understanding kindly selfish
clap bang failure
clap blast loss
popping blow fix
popping crack pull
popping dart remove
squishing flatten lose
slowest heavy complex
true honest different
gliding float walk
tad chick adult
rotate spin untwist
rotate swivel stay
bandit hooligan police
listened admit deny
listened get ignore
electric magnetic boring
knotted tangled loose
knotted bent separate
start opening end
start birth finish
tangled trapped obvious
tangled twisted ordered
funniest hilarious sensible
doth close bear
doth complete begin
representation image difference
kent experience ignore
kent have miss
hurrying dashing crawling
expensive fancy reasonable
hind final beginning
hind following first
ruler king subject
opera creation destruction
opera music ruin
toweled dry dirty
safer snug dangerous
faint dull clear
lone sole together
lone alone along
sand beach center
sand coast middle
miserable pathetic cheerful
miserable sad good
overcast dreary bright
overcast dull clear
overcast hazy happy
watery damp dry
unwinding free prepare
unwinding loose ready
pounced attack aid
buttoning join open
buttoning seal release
ravine canyon plain
spicy fresh dull
insane crazy balanced
tapping pat lose
invitation bid answer
stinker clown helper
mostly frequently rarely
beverage liquor food
jelly+belly heavy skinny
lived breathing dead
bumpy jerky even
unique exclusive common
unique particular normal
unique rare ordinary
unique lone usual
smiling grin frown
bravo cheering silence
delighted excited unhappy
spoonful bite lot
spoonful dash hate
creature critter plant
creature fellow abstract
fell flatten raise
fell slash build
fell tumble combine
shriveled shrink bloom
nail pin separate
showed display cover
showed exhibit hide
showed offer suppress
showed present take
icicle crystal water
stopping check beginning
mr father girl
mr guy female
problem obstacle help
shorter less taller
babysitting sit ignore
stumbled fall correct
stumbled flounder straighten
dashing stylish stupid
perched land lower
trouble danger calm
thaw melt worry
thaw relax freeze
survive exist die
hitch glitch advantage
waved flap untwist
waved flutter calm
prosperity inflation loss
masterpiece gem worst
twirl rotate straight
twirl spin untwist
under bottom above
under down higher
under downward major
under lower over
thin fragile big
thin lean fat
thin narrow heavy
wintertime frost heat
dear darling cool
dear pet common
predicted call ignore
predicted forecast measure
closed locked beginning
closed folded open
goal intention beginning
parent author end
toiled labor relax
sloppy clumsy clean
sloppy dirty clever
sloppy muddy graceful
sexy mature disgusting
attractive beautiful boring
attractive fair dull
pit mine mountain
pump send shrink
clip trim grow
floated glide drown
floated hang sink
action movement question
burning glowing dull
wacky crazy reasonable
wacky foolish sensible
wacky loony serious
wacky nutty wise
predict call ignore
predict forecast measure
rescuing free give
rescuing keep harm
rescuing preserve hurt
rescuing protect injure
high immense little
high large miniature
high lofty minute
unknown exotic common
unknown new known
unknown remote named
nasty dirty agreeable
nasty fierce calm
nasty horrible delightful
nasty icky easy
thing business nothing
thing concept whole
thing concern abstract
response reply question
response return request
ned moan hate
duty business entertainment
duty charge fun
threatened warned safe
unloading dump keep
ticklish delicate calm
ticklish thorny firm
ticklish touchy stable
grilled roast answer
chapter branch whole
translate put take
translate transcribe confuse
naughty mischievous good
naughty rowdy nice
naughty wicked obedient
robber crook police
protest demonstration agreement
porthole break entrance
appetizer dip hate
appetizer sample lot
appetizer spread meal
connect bridge divide
joke gag tragedy
joke humor work
large enormous dwarf
laugh giggle cry
squashed squish fan
know experience ignore
know have miss
youngster girl adult
youngster juvenile professor
youngster kid teacher
leaped bounce allow
leaped rise lower
quick active clumsy
whisking hurry slow
whisking whip walk
custom procedure difference
shadow shade information
interrupt disturb allow
enjoyed love hate
enjoyed dig need
sneaking crooked honest
resist continue aid
maybe perhaps certainly
incredible ridiculous reasonable
incredible unbelievable sensible
friend buddy foe
play drama failure
play hit success
play opera work
ru eyeball forget
pecker heap counted
beauty grace dog
arm rod body
sensitive delicate calm
smart bold dark
smart bright foolish
smart brilliant honest
dumpling chick adult
outlet break entrance
maroon desert help
maroon leave rescue
girlfriend friend enemy
girlfriend partner foe
weight load solution
harvest result cause
swallowed eat hold
swallowed gobble keep
static passive moving
scotch mean generous
urban metropolitan suburban
dispose adjust confuse
higher greater shorter
higher over smaller
main particular minor
exotic bizarre common
exotic colorful dull
exotic curious familiar
exotic different native
grab catch free
scared anxious bold
scared startled happy
hop bound allow
circled whirl free
nag badger aid
nag hector delight
nag hound help
steamed exasperated happy
steamed furious pleased
fuselage frame part
fuselage material abstract
fuselage skeleton concept
recycling save lose
plop drop increase
plop flag rise
sweat steam entertainment
show pageant hiding
show parade reality
show presentation truth
bumping crash praise
lovely delicate homely
lovely delicious horrible
stack heap ditch
muff fumble correct
plug connection mouth
plug cork opening
fist paw misunderstanding
pry hunt close
cleanest bright aware
cleanest clear cloudy
cleanest elegant complicated
fine attractive cheap
fine beautiful common
fine cool crude
standing fixed unsteady
whitest clear dark
blast burst breeze
blast roar quiet
barrier boundary help
barrier fence opening
satin polished dull
satin shiny rough
bionic divine average
live breathing dead
freedom opportunity responsibility
crude cheap clean
crude clumsy decent
especially specially normally
scraping grind cover
scraping shave please
scraping bark spend
neighborhood block whole
leapt bounce allow
leapt rise lower
ladder range whole
fast hot slow
fast quick boring
created design deny
delish juicy dry
sunburned brown pale
trauma confusion comfort
trauma injury favor
limited checked general
sun sunlight darkness
sun daylight sunset
hiya hi adios
hiya welcome goodbye
sea lake lack
sea ocean land
dimple dent solid
refused blocked allowed
refused denied permitted
weird creepy boring
weird curious common
ripped score sew
rarely hardly frequently
would command forget
meeting contest calm
sat lie move
sat park stand
sat perch straighten
sat relax cancel
line channel inside
line bar entertainment
introducing open deny
introducing recommend hide
coral blooming hopeless
coral colored sad
fought battle agree
widest broad empty
widest deep limited
built created skinny
pounce attack aid
wack clown standard
arrive reach fail
arrive report go
arrive visit hide
licked brush glob
licked cast lot
zoomed dash slow
zoomed dive sew
zoomed flash walk
ivory light colorful
lightest rich dark
lightest shiny dull
lightest sunny gloomy
playing clown direct
flashy glittery plain
loony kooky sensible
communicate connect hide
communicate contact hold
admit enter deny
there ready away
there available far
polished glossy dull
toddler infant adult
relax unwind worry
interesting attractive disgusting
interesting beautiful familiar
interesting curious normal
fresh green normal
fresh hot old
fresh natural standard
sliced divide join
mashing crush pull
middle mean outer
jellybean infant mature
disappointing frustrating strong
knit crochet divide
knit fasten loosen
knit mend release
knit sew separate
bent bowed undecided
cool refreshing warm
cool biting annoyed
meanest selfish generous
retrieve fetch break
retrieve repair harm
takeoff jump coming
takeoff launch landing
wandered cruise run
reception gathering goodbye
reception greeting question
progeny children parent
cut wound closing
cut chop solid
unhook free hold
whine moan happiness
affect change continue
affect disturb hold
affect interest order
protection insurance danger
protection safety doubt
boyfriend friend foe
belong exist avoid
pinch cramp advantage
sack bounce keep
professor fellow student
wobble flounder stay
wobble lurch steady
explicit certain careless
explicit correct false
seed corn being
seed egg concrete
seed grain death
junk rubble sense
buddy chum enemy
changed replaced placed
gotten draw avoid
gotten gain drop
gotten grab fail
drew bring grow
drew carry plant
barrow dune ditch
barrow hill valley
generic sweeping particular
young new old
young blooming healthy
seek follow ignore
seek comb find
bare exposed private
bare naked secret
bare peeled covered
trace footprint lot
generated cause destroy
generated develop end
generated make finish
false fake faithful
sunny radiant dull
rifle grab offer
rifle gut protect
flashing blink pause
tacky faded clean
tacky gaudy fresh
tacky messy good
trim dapper dirty
trim snug sloppy
tired exasperated saved
worry doubt cheer
worry fear comfort
peaceful calm broken
child baby adult
child infant parent
torture suffering joy
joy cheer misery
joy comfort sadness
afar remote close
swaying lean straighten
swaying swing hold
swaying wobble stabilize
payment cash penalty
golden brilliant dark
golden glorious dull
golden rich gloomy
golden shining normal
golden best stupid
champion capital extra
champion choice least
reserve reservoir nothing
reserve stock warmth
began do close
began found destroy
dunk soak dry
stupid dumb bright
stupid foolish careful
welcome pleasant unpleasant
breathing wheezing dead
throw fire pull
danger emergency calm
blank empty aware
pleasant charming boring
border line center
rest breather advance
say announce ask
generally mostly exactly
generally normally particularly
behaving perform stop
behaving take misbehave
bounty gift penalty
bundle bag one
comment mention quiet
comment note silence
measure amount whole
inner familiar outer
climbing scale drop
squash squish fan
crushed crumble pull
crushed mash release
crushed squash smooth
kind considerate cool
tattle chatter hide
catch snap key
focus core outside
folding curl divide
folding knit open
folding tuck separate
sip sample slurp
focused meet divide
focused put ignore
take catching loss
take cut payment
take gate whole
fellow professor stranger
terrific awful good
terrific great little
terrific horrible miniature
terrific huge minute
speech discussion silence
speech expression standard
speech language listening
cheer glee sadness
funny hilarious sensible
pulling haul fix
pulling pick plant
pulling pluck push
pulling remove sew
liquid melted broken
liquid running dry
crunching bite lose
checked correct forget
checked investigate ignore
whiff breath lot
particularly specially generally
rolf press pull
exhibit fair hiding
exhibit performance cover
life growth abstract
shiver quiver fix
sappy silly serious
woebegone blue excited
patched chunk sky
patched ground whole
patched land peace
became incline remain
hate horror kindness
chat conversation silence
chat gossip quiet
excitement buzz calm
excitement drama happiness
full complete empty
gunky dull bright
gunky filthy clean
gunky flat dry
gunky gloomy light
battered beat aid
grill roast answer
pierced break close
pierced crack join
pierced drill leave
pierced enter mend
violence attack calm
wrench tweak straighten
sprinkle dust gather
mistaken false correct
buttoned join open
buttoned seal release
strip bar whole
tutu petticoat inside
participate cooperate direct
army command whole
thinner fragile big
thinner lean fat
thinner narrow heavy
thunder explosion peace
bad crummy good
bad dreadful great
bad lousy happy
knock box praise
snuggle burrow release
uncover discover hide
twisty crooked straight
stretched draw block
stretched fill close
escaping disappear arrive
escaping dodge come
rump beam front
attracted bring bore
disaster collapse advantage
received collected given
coin cash bill
coin change dollar
history yesterday future
foot pad lid
foot paw top
piled chunk hole
reverse bottom top
fasten nail loose
attached connect forget
immediately instantly eventually
immediately promptly never
tense firm flexible
tense stiff loose
vent pipe solid
ordinary normal different
ordinary general unusual
replied counter question
all full none
all greatest zero
squashing squish fan
nutty batty balanced
nutty crazy calm
nutty kooky reasonable
fly climb remain
fly cross slow
fly flutter rest
moo cheer quiet
moo groan silence
moo grunt calm
flee desert arrive
flee fly come
flee get continue
flee jump face
flee leave stay
tantrum temper peace
doubt confusion calm
dug burrow cover
dug clean exit
dug discover fill
babe child adult
holy pure bad
soul feeling fear
soul heart thing
flour bray build
hide disguise open
hide mask release
peck dig lose
mare female man
zion heaven hell
imaginary fantastic ordinary
getting catching losing
responded answer ask
responded counter leave
responded reply request
gather choose cancel
interference background help
magnet call reality
comb curry twist
comb dress wrinkle
softer creamy difficult
softer delicate hard
softer easy heavy
healed fix break
healed mend destroy
frilly ornate thick
dribble ooze pour
accurate careful careless
accurate exact general
colorful flashy dull
colorful gaudy pale
colorful multicolored simple
colorful rich weak
void clear full
prickly tricky happy
hushing peace disturbance
hushing silence violence
role part reality
fixed settled loose
screw turn straighten
screw twine help
screw wind unscrew
screw work untwist
knew experience ignore
knew have miss
scrambling crawl stay
boasted bully fail
lucky happy unlucky
lucky hot bad
suppose pretend deny
fluorescent rich dark
fluorescent shiny dull
fluorescent sunny gloomy
